attr,theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
c,-2.5,574414439.4,280032570.1,74943563.1
c,-2.0,725182309.3,326581598.5,117196921.4
c,-1.5,905769991.9,401362013.1,183851645.6
c,-1.0,1132253655.7,509814202.3,245722319.8
c,-0.5,1418711982.6,635270343.0,235279697.7
c,0.0,1761847910.4,729620144.5,149833462.6
c,0.5,2145857099.8,810400155.7,194600105.9
c,1.0,2579627918.5,933368832.4,297188134.1
c,1.5,3087276664.7,1105068880.0,393605826.6
c,2.0,3693666202.3,1326232125.3,448336911.4
c,2.5,4402985530.3,1487034281.8,173496117.0
c,3.0,5158349887.0,1517871435.5,-30331937.0
c,3.5,5906975234.5,1465966422.2,-155155797.5
c,4.0,6619687327.9,1386758641.0,-124458490.0
c,4.5,7306563876.2,1371042012.1,-49413611.9
c,5.0,7960006610.4,1198316263.2,-528166400.9
c,5.5,8497500539.5,961195668.8,-428284115.2
c,6.0,8925526057.7,753229477.6,-396346933.9
c,6.5,9256213045.4,577785731.1,-299037077.4
c,7.0,9512175774.1,454823769.4,-194044723.3
c,7.5,9719275749.5,380796118.7,-108176378.7
c,8.0,9898150020.4,337341788.8,-76422401.8
c,8.5,10056795881.7,295500064.8,-96571563.2
c,9.0,10191150958.6,239703129.7,-121938532.4
c,9.5,10296120871.6,181967570.9,-101238613.4
c,10.0,10376148093.7,141462100.8,-61943291.2
c,10.5,10440376673.9,117647099.3,-35433344.2
c,11.0,10495573338.3,104607869.1,-17798557.9
c,11.5,10546183645.2,98752645.1,-6772915.6
c,12.0,10594959268.0,96709136.2,-2433004.4
c,12.5,10643019642.8,95467014.2,-3168907.6
c,13.0,10690239386.0,93152328.2,-6240128.4
c,13.5,10735904542.8,89266228.3,-9125441.4
c,14.0,10779318143.6,84260933.2,-10658631.2
c,14.5,10820090372.3,78792512.6,-11098782.7
c,15.0,10858094342.8,73215186.8,-11202807.5
